ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI146.05,47354.32821035595,89.6,0.3,3.0,7.1,47.2,39244.0,16935.962697604595,24.900000000000002,94.3,1247.0,577900.0,33.5,93.2,36.6,70.71311921611323,21.339139902014153,3.5714285714285716,7.952270977675135
SI89,,,,,,,,,,,,,,,,,,,
SI96.01,62252.40196321377,75.2,1.4,11.7,8.2,47.4,37760.0,22327.103399593267,34.1,96.1,1137.0,539300.0,24.2,95.1,34.5,57.261410788381745,36.51452282157676,0.8096590909090909,12.028985507246375
SI96.02,54873.457031555234,71.8,2.6,11.1,12.5,42.1,40585.0,24727.03573444804,52.4,89.7,1369.0,566800.0,29.6,96.2,39.9,51.79233621755253,42.21260815822002,2.049780380673499,8.99761336515513
SI97,42431.159786185286,37.9,34.4,23.3,2.3,39.3,35766.0,15540.938567773705,41.8,95.7,1446.0,450900.0,44.4,96.8,36.0,67.776169802219,24.93970091654607,3.752417794970986,7.188612099644127
SI105,57621.771884795344,42.3,13.4,34.3,9.1,44.8,35049.0,24263.879698057688,43.2,92.0,1232.0,429600.0,30.7,94.5,36.1,49.02506963788301,39.44289693593315,3.6440677966101687,18.340909090909093
SI112.01,42624.8876122844,70.6,0.9,17.5,8.7,41.4,32646.0,13958.008180052866,44.599999999999994,93.1,1535.0,478800.0,43.3,99.1,29.1,64.83126110124334,24.795737122557725,3.696275071633238,7.83013698630137
SI112.02,31116.7076835752,51.1,11.1,24.8,10.0,35.3,32710.0,12021.006946682166,13.100000000000001,90.8,1445.0,438400.0,36.9,89.3,23.8,56.908396946564885,37.63358778625954,3.9046653144016226,9.89939637826962
SI114.01,60693.942953099955,43.9,14.8,23.7,8.9,40.3,27056.0,28682.024875850664,73.19999999999999,97.4,350.0,449800.0,28.5,94.9,20.5,53.89326334208224,41.119860017497814,5.340425531914893,21.834415584415584
SI114.02,63140.04901943893,72.9,1.7,16.6,8.8,45.9,40035.0,26738.825938485174,46.4,90.3,1736.0,468600.0,31.0,93.5,30.0,57.76241357636707,38.84349465744815,0.8090614886731392,16.452665941240475
SI121,45599.461987232426,75.7,0.8,21.0,0.9,43.9,44657.0,17206.796664606318,19.100000000000005,98.2,1810.0,591400.0,35.5,94.4,52.4,72.64150943396227,17.654986522911052,8.435114503816793,14.712430426716143
