ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI17,53186.981582594344,33.5,21.5,32.9,7.7,40.5,28947.0,24288.721589384753,54.199999999999996,85.8,1153.0,421600.0,28.4,93.6,45.2,51.95369030390738,35.60057887120116,5.813008130081301,50.584958217270206
SI6,22663.50511610756,67.2,4.0,15.7,11.6,53.0,35198.0,13347.200381446286,79.5,85.3,727.0,401000.0,12.5,88.3,34.3,65.67926455566905,26.96629213483146,4.015151515151516,22.76827371695179
SI7,106028.41876261524,14.6,44.0,27.8,3.5,32.6,20452.0,40654.441876224344,94.2,96.1,970.0,261000.0,34.6,95.3,27.6,31.924140655867244,57.9217700513631,1.903137789904502,10.606435643564355
SI18,6021.462348744282,62.7,12.7,13.5,1.5,30.7,25264.0,2680.788031975195,86.9,70.0,1472.0,,57.7,76.0,36.8,48.175182481751825,11.313868613138686,0.0,143.78787878787878
SI3,35361.89562197882,39.3,13.2,22.8,20.7,41.5,38530.0,20822.794191160017,96.5,85.7,1161.0,367200.0,19.2,83.7,45.9,26.31077216396568,51.28693994280267,4.368029739776952,37.78985507246376
SI8,76264.41819853318,53.1,4.2,25.9,14.8,36.8,28458.0,28339.86857819036,44.1,94.1,1219.0,403200.0,42.8,93.8,30.4,52.04545454545455,38.25757575757576,2.227722772277228,10.22561863173217
SI9,80029.41886607141,17.1,45.2,24.7,10.0,31.7,22692.0,40896.704188520256,80.1,69.8,1246.0,362800.0,38.4,93.5,34.8,25.806451612903224,66.26344086021506,6.16632860040568,80.31249999999999
SI20.01,56592.45076438547,69.3,5.4,14.1,8.6,38.9,47225.0,24397.829006008284,50.50000000000001,96.4,1283.0,357300.0,27.7,95.6,36.2,57.34011627906977,40.843023255813954,4.234875444839858,21.00126742712294
SI20.02,45935.26165742198,78.2,1.7,4.8,10.8,45.0,39363.0,17494.637208555705,37.10000000000001,99.4,1550.0,467200.0,31.2,93.3,48.8,57.76478232618584,35.67251461988304,4.116575591985428,18.50393700787401
SI132.04,47156.834149242524,90.4,0.2,7.2,2.2,45.0,39177.0,19618.643602163575,36.6,94.0,1411.0,493400.0,23.0,94.8,30.5,66.11418047882137,30.939226519337016,1.1011904761904763,9.50557103064067
SI21,36993.744033149465,18.5,28.4,44.1,4.9,31.1,20769.0,14573.031488437875,66.3,86.1,1288.0,346900.0,38.2,93.5,21.4,33.35054207537429,52.86525554981931,3.0468750000000004,25.077399380804952
